keys,en_US,pr,tlh_US
DG_RODRICK1_AREYOUSMART,Are you smart?,Be ye wise?,Are you smart?
DG_RODRICK1_NOPE,Nope.,Nay.,Nope.
DG_RODRICK1_DEFNOT,Definitely not.,Definitely naht.,Definitely not.
DG_RODRICK1_DIDNT,"Yeah, I didn't think so.","Aye, I didn't think so.","Yeah, I didn't think so."
DG_RODRICK1_DEFDIDNT,"Yeah, I definitely didn't think so.","Aye, I definitely didn't think so.","Yeah, I definitely didn't think so."
DG_RODRICK1_COMEBACK,Come back when you're smart.,Come back when ye be wiser.,Come back when you're smart.
DG_INTRO1_COMEUNPACK,"Hey, [ETHAN], we're unpacking your stuff! Come help!","Ahoy, [ETHAN], we be unpackin' yer stuff! Come help!","Hey, [ETHAN], we're unpacking your stuff! Come help!"
DG_INTRO1_OVER_HERE,Over here! This is your new room!,Over here! This be yer new room!,Over here! This is your new room!
DG_INTRO1_WDYT,What do you think?,What be yer thoughts?,What do you think?
DG_INTRO1_GREAT,It's great!,Rather grand!,"Wow, sooooo comfy..."
DG_INTRO1_ALRIGHT,It's alright...,It be alright...,It's alright...
DG_INTRO1_GREAT_MOM,"Well, I'm glad you like it! I hope you'll be comfortable here.","Well, I be glad ye like it! I hope ye be comfortable here.",...
DG_INTRO1_ALRIGHT_MOM,"I know it's not much, but I hope you'll be comfortable here.","I know it's nah much, but ye do with what ye got, right?","I know it's not much, but I hope you'll be comfortable here."
DG_INTRO1_ITS_YOURS,"Well, it's all yours. Do you have a specific blanket color in mind?","Well, it's all yours, captain. What color flag does yer ship fly?","Well, it's all yours. Do you have a specific blanket color in mind?"
DG_INTRO1_LOOKS_BETTER,"Wow, it looks even better already!","Arrr, fine choice!","That's so basic. Whatever, I guess."
DG_INTRO1_ILL_BE_DOWNSTAIRS,"Alright, I'll be downstairs if you need me.","Alright, yer mama be downstairs if ye need 'er.","I'll be downstairs if you need me."
DG_INTRO1_BRING_FUZZY,"Go bring out Fuzzy from the car, okay?","Go fetch Fuzzy from the car, aye?","Go bring out Fuzzy from the car, okay?"
DG_INTRO1_MEET_NEIGHBORS,"Here he is! Hey, [ETHAN], come meet the neighbors!","Thar she blows! Hey, [ETHAN], come meet th' neighbors!","Took him long enough. Hey, [ETHAN], come meet the neighbors!"
DG_INTRO1_MR_T,"This is Mr. Tulivae. He lives next door.","This be Cap'n Tulivae. He lives next door.","This is Mr. Tulivae. He lives next door."
DG_INTRO1_HI_THERE,"Hi there, [ETHAN]. Pleasure meeting you.","Ahoy, [ETHAN]. Pleasure meetin' ya.","Hi there, [ETHAN]. Pleasure meeting you."
DG_INTRO1_HE_SEEMS_NICE,He seems pretty nice. Maybe you should go say hi later.,He seems pretty nice. Maybe ye should go say hi later.,He seems pretty nice... but does he pay his taxes?
DG_BECKY_MEET_HI,"Hey, there! I'm Secky the Bec-- I mean, Becky the Secretarybird!","Ahoy! I'm Secky th' Bec-- Errrr, Becky th' Secretarybird!","Hey, there! I'm Secky the Bec-- I mean, Becky the Secretarybird!"
DG_BECKY_MEET_HOSTILES,"You may have noticed there are a certain class of hostile birds around this area.","Ye may have noticed there be a certain class o' dragons 'round these seas.","You may have noticed some spicy birbs around this area."
DG_BECKY_MEET_DONT_WORRY,"Don't worry; I'm not one of them.","Don't ye worry yer lil' head; I be nah one o' those bilge rats.","Don't worry; I'm not one of them."
DG_BECKY_MEET_STUDY,"I'm running a study on what may be causing this sudden outbreak.","I be runnin' a survey on th' lands, findin' out what may be causin' this sudden storm.","I'm running a study on what may be causing this sudden outbreak."
DG_BECKY_MEET_HELP,"Would you mind helping me discover more species of this diverse population?","Would ye mind helpin' me discover more squawkers o' this diverse population?","Would you mind helping me discover more species of this diverse population?"
DG_BECKY_MEET_LOGGING,"I need you to log the species you encounter in your travels.","I need ye to log th' squawkers ye encounter in yer travels.","I need you to log the species you encounter in your travels."
DG_BECKY_MEET_OTHER_ENEMIES,"Feel free to log other oddities you encounter as well. It'll be your own logbook, after all.", "Feel free to log other oddities ye encounter as well. It'll be yer own logbook, after all.","Feel free to log other oddities you encounter as well. It'll be your own logbook, after all."
DG_BECKY_MEET_MILESTONES,"I'll even give you a little something for each milestone you hit.","I'll even give ye a lil' treasure fer each milestone ye hit.","What? Yeah, there will be rewards, too, I guess."
DG_BECKY_MEET_OFFER,"So, what do you say?","So, whadda ye say?","So...?"
DG_BECKY_MEET_ACCEPT,"Sure!","Aye!","Sure!"
DG_BECKY_MEET_DECLINE,"I'm busy.","Nay, matey.","Nah."
